Player,Team,Rating,ACS,KD,ADR,KAST,KPR,APR,FKPR,FDPR,Total_Rounds_Played,url,tier_m,region_m
Sunshine,TYLOO,0.78,165.91,0.752,106.183,0.643,0.568,0.267,0.086,0.112,1173.0,https://www.vlr.gg/player/14453/sunshine?timespan=all,0.0,0.0
AC,Chosen Clique Gaming,1.014,197.744,1.039,126.974,0.704,0.708,0.259,0.081,0.084,5180.0,https://www.vlr.gg/player/14445/ac?timespan=all,1.0,1.0
aco,ZETA DIVISION GC,0.937,181.932,0.908,116.031,0.73,0.631,0.417,0.074,0.084,2050.0,https://www.vlr.gg/player/29316/aco?timespan=all,0.3,1.0
rezy,Al-Qadsiah Esports,0.927,176.491,0.884,116.988,0.711,0.619,0.34,0.063,0.077,8717.0,https://www.vlr.gg/player/11914/rezy?timespan=all,0.955,0.814
Psilence,DRAGONS,0.925,215.744,0.943,140.549,0.668,0.737,0.195,0.178,0.179,1979.0,https://www.vlr.gg/player/46250/sogeking?timespan=all,0.0,0.0
JinNy,Ambitious Legend Gaming GC,1.102,179.805,1.012,116.453,0.768,0.641,0.366,0.051,0.053,8017.0,https://www.vlr.gg/player/1909/jinny?timespan=all,0.3,1.0
Muffyn,Ambitious Legend Gaming GC,1.16,253.512,1.255,158.663,0.738,0.869,0.227,0.202,0.15,5467.0,https://www.vlr.gg/player/13232/muffyn?timespan=all,0.3,1.0
MrCANI,Xi Lai Gaming,1.02,202.787,1.129,135.102,0.735,0.754,0.128,0.174,0.126,852.0,https://www.vlr.gg/player/37674/mrcani?timespan=all,0.992,0.955
yTao,LP33,1.0,195.696,1.0,126.014,0.719,0.672,0.34,0.075,0.079,4059.0,https://www.vlr.gg/player/2829/ytao?timespan=all,0.0,0.0
maou,LP33,1.051,198.577,1.021,131.517,0.739,0.688,0.337,0.062,0.059,3030.0,https://www.vlr.gg/player/2373/maou?timespan=all,0.0,0.0
0n1y,LP33,0.974,187.841,0.919,125.32,0.719,0.654,0.275,0.091,0.101,1716.0,https://www.vlr.gg/player/7860/0n1y?timespan=all,0.0,0.0
1111111 Fu,LP33,1.11,249.3,1.22,163.6,0.82,0.84,0.22,0.27,0.11,74.0,https://www.vlr.gg/player/49959/1111111-fu?timespan=all,0.0,0.0
Bosheng,LP33,1.105,183.892,1.219,117.868,0.759,0.675,0.393,0.041,0.055,74.0,https://www.vlr.gg/player/49960/bosheng?timespan=all,0.0,0.0
SPARTA,Exsto Gaming,0.867,166.202,0.84,123.255,0.707,0.566,0.278,0.082,0.111,62.0,https://www.vlr.gg/player/49677/sparta?timespan=all,,
AcZy,Exsto Gaming,1.093,236.253,1.144,150.166,0.686,0.837,0.223,0.132,0.123,946.0,https://www.vlr.gg/player/44723/aczy?timespan=all,0.955,0.76
sommboiii,Exsto Gaming,0.985,192.194,0.935,128.75,0.703,0.67,0.271,0.081,0.101,1795.0,https://www.vlr.gg/player/5209/sommboiii?timespan=all,0.955,0.76
Spartabang,Exsto Gaming,0.972,188.602,0.907,124.87,0.733,0.646,0.469,0.062,0.06,1919.0,https://www.vlr.gg/player/37185/spartabang?timespan=all,0.955,0.76
Rossi,Exsto Gaming,1.052,232.19,1.098,149.077,0.71,0.798,0.225,0.173,0.155,1586.0,https://www.vlr.gg/player/31640/rossi?timespan=all,0.955,0.76
Kyun,Exsto Gaming,0.944,183.861,0.893,125.023,0.704,0.628,0.332,0.061,0.076,1355.0,https://www.vlr.gg/player/17990/kyun?timespan=all,0.955,0.76
R3gen,Tiny Turtle Squad,0.904,200.944,0.881,134.764,0.673,0.68,0.286,0.109,0.144,1707.0,https://www.vlr.gg/player/31586/r3gen?timespan=all,,
NOVAE,Rub n' Pug,1.177,246.556,1.199,161.776,0.698,0.884,0.178,0.176,0.12,1415.0,https://www.vlr.gg/player/36676/novae?timespan=all,0.955,0.76
BREW,Tiny Turtle Squad,0.904,202.64,0.922,131.67,0.671,0.704,0.231,0.142,0.132,1446.0,https://www.vlr.gg/player/18046/brew?timespan=all,,
gon,Nemesis,0.999,196.338,0.929,128.346,0.726,0.686,0.431,0.059,0.087,1554.0,https://www.vlr.gg/player/43115/gon?timespan=all,,
WisdomCats,Tiny Turtle Squad,1.005,197.647,0.978,130.852,0.699,0.689,0.316,0.085,0.07,1225.0,https://www.vlr.gg/player/43169/wisdomcats?timespan=all,,
